,latitude,longitude,t2m,tp,swvl1
22840,1,3320,241.75476,2.862513e-05,0.20259143
22841,1,3320,242.65395,7.0266426e-05,0.20259143
22842,1,3320,241.84126,2.0816922e-05,0.20259143
22843,1,3320,242.50644,0.0,0.20259143
22844,1,3320,242.96313,2.6002526e-06,0.20259143
22845,1,3320,245.25508,2.0816922e-05,0.20259143
22846,1,3320,243.84956,0.0,0.20259143
22847,1,3321,241.75333,2.862513e-05,0.2026265
22848,1,3321,242.65678,7.0266426e-05,0.2026265
22849,1,3321,241.84126,2.0816922e-05,0.2026265
22850,1,3321,242.50786,0.0,0.2026265
22851,1,3321,242.96313,2.6002526e-06,0.2026265
22852,1,3321,245.25508,2.0816922e-05,0.2026265
22853,1,3321,243.85098,0.0,0.2026265
22854,1,3322,241.75333,2.862513e-05,0.2026265
22855,1,3322,242.65678,7.0266426e-05,0.2026265
22856,1,3322,241.84126,2.0816922e-05,0.2026265
22857,1,3322,242.50786,0.0,0.2026265
22858,1,3322,242.96455,2.6002526e-06,0.2026265
22859,1,3322,245.25508,2.0816922e-05,0.2026265
22860,1,3322,243.85098,0.0,0.2026265
22861,1,3323,241.75333,2.862513e-05,0.20257975
22862,1,3323,242.65678,7.0266426e-05,0.20257975
22863,1,3323,241.84126,2.0816922e-05,0.20257975
22864,1,3323,242.50786,0.0,0.20257975
22865,1,3323,242.96455,2.6002526e-06,0.20257975
22866,1,3323,245.25508,2.0816922e-05,0.20257975
22867,1,3323,243.85382,0.0,0.20257975
22868,1,3324,241.75333,2.862513e-05,0.20254467
22869,1,3324,242.65678,7.0266426e-05,0.20254467
22870,1,3324,241.84126,2.0816922e-05,0.20254467
22871,1,3324,242.50786,0.0,0.20254467
22872,1,3324,242.96455,2.6002526e-06,0.20254467
22873,1,3324,245.25508,2.0816922e-05,0.20254467
22874,1,3324,243.85382,0.0,0.20254467
22875,1,3325,241.75333,2.862513e-05,0.20249793
22876,1,3325,242.65678,7.0266426e-05,0.20249793
22877,1,3325,241.84126,2.0816922e-05,0.20249793
22878,1,3325,242.50786,0.0,0.20249793
22879,1,3325,242.96455,2.6002526e-06,0.20249793
22880,1,3325,245.25508,2.0816922e-05,0.20249793
22881,1,3325,243.85382,0.0,0.20249793
22882,1,3326,241.75333,2.862513e-05,0.20247455
22883,1,3326,242.65678,7.0266426e-05,0.20247455
22884,1,3326,241.84126,2.0816922e-05,0.20247455
22885,1,3326,242.50786,0.0,0.20247455
22886,1,3326,242.96455,2.6002526e-06,0.20247455
22887,1,3326,245.25508,2.0816922e-05,0.20247455
22888,1,3326,243.85522,0.0,0.20247455
22889,1,3327,241.75333,2.862513e-05,0.20242779
22890,1,3327,242.6582,7.0266426e-05,0.20242779
22891,1,3327,241.84126,2.0816922e-05,0.20242779
22892,1,3327,242.50786,0.0,0.20242779
22893,1,3327,242.96455,2.6002526e-06,0.20242779
22894,1,3327,245.25508,2.0816922e-05,0.20242779
22895,1,3327,243.85522,0.0,0.20242779
22896,1,3328,241.75333,2.862513e-05,0.20239273
22897,1,3328,242.6582,7.0266426e-05,0.20239273
22898,1,3328,241.84126,2.0816922e-05,0.20239273
22899,1,3328,242.50786,0.0,0.20239273
22900,1,3328,242.96739,2.6002526e-06,0.20239273
22901,1,3328,245.25508,2.0816922e-05,0.20239273
22902,1,3328,243.85522,0.0,0.20239273
22903,1,3329,241.75333,2.862513e-05,0.20234597
22904,1,3329,242.6582,7.0266426e-05,0.20234597
22905,1,3329,241.83984,2.0816922e-05,0.20234597
22906,1,3329,242.50786,0.0,0.20234597
22907,1,3329,242.96739,2.6002526e-06,0.20234597
22908,1,3329,245.25508,2.0816922e-05,0.20234597
22909,1,3329,243.85522,0.0,0.20234597
22910,1,3330,241.75333,2.862513e-05,0.2023109
22911,1,3330,242.6582,7.0266426e-05,0.2023109
22912,1,3330,241.83984,2.0816922e-05,0.2023109
22913,1,3330,242.50786,0.0,0.2023109
